strain,genome,family,gene,product,go_function,ontology_term
SEC470,GCF_000987875.1,GCF_000987875.1|WP_014639930.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_014639948.1,istA,IS21-like element IS100 family transposase,transposase activity|0004803||IEA,"GO:0006313,GO:0004803"
SEC470,GCF_000987875.1,GCF_000987875.1|WP_014639990.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_014639992.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_014640011.1,istB,IS21-like element IS100kyp family helper ATPase IstB,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_014640033.1,leoC,dynamin-like protein LeoC,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_014640052.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_014640085.1,,phage N-6-adenine-methyltransferase,"DNA binding|0003677||IEA,site-specific DNA-methyltransferase (adenine-specific) activity|0009007||IEA","GO:0009307,GO:0003677,GO:0009007"
SEC470,GCF_000987875.1,GCF_000987875.1|WP_024185651.1,,PerC family transcriptional regulator,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_032162305.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_052604443.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_064721323.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_071594060.1,,gp53-like domain-containing protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_071595684.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_077634916.1,,PTS ascorbate transporter subunit IIC,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_077634926.1,,copper resistance protein B,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_097738121.1,lysC,Rz1-like lysis system protein LysC,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_151327001.1,,IS3 family transposase,transposase activity|0004803||IEA,GO:0004803
SEC470,GCF_000987875.1,GCF_000987875.1|WP_155105375.1,,helix-turn-helix domain-containing protein,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
SEC470,GCF_000987875.1,GCF_000987875.1|WP_155522400.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_162485313.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_166427843.1,,terminase small subunit,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_166427847.1,,LysR family transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
SEC470,GCF_000987875.1,GCF_000987875.1|WP_225090931.1,,DUF4365 domain-containing protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_225389441.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_229018405.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_229692861.1,pcoD,copper resistance inner membrane protein PcoD,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_233324324.1,,gp53-like domain-containing protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_244422771.1,,EAL domain-containing protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_244422776.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_306296727.1,,ash family protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_308011014.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_419180840.1,lysC,Rz1-like lysis system protein LysC,,
